EFF_DATE,ORIGIN_ID,ORIGIN_CITY,ORIGIN_STATE_CODE,ORIGIN_COUNTRY_CODE,DSTN_ID,DSTN_CITY,DSTN_STATE_CODE,DSTN_COUNTRY_CODE,PFR_TYPE_CODE,ROUTE_NO,SPECIAL_AREA_DESCRIP,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,NAR_TYPE,INLAND_FAC_FIX,COASTAL_FIX,DESTINATION,ROUTE_STRING
2025/02/20,ABE,ALLENTOWN,PA,US,ACY,ATLANTIC CITY,NJ,US,TEC,1,,5000,,,,,,,,,FJC ARD CYN
2025/02/20,ABE,ALLENTOWN,PA,US,ALB,ALBANY,NY,US,TEC,1,"TO ALB,SCH",7000,,,,,,,,,FJC LAAYK
2025/02/20,ABE,ALLENTOWN,PA,US,AVP,WILKES-BARRE/SCRANTON,PA,US,TEC,2,,7000,,,,,,,,,FJC LVZ
2025/02/20,ABE,ALLENTOWN,PA,US,BDL,WINDSOR LOCKS,CT,US,TEC,1,,5000,,,,,,,,,FJC T299 HUO IGN PWL BRISS
2025/02/20,ABE,ALLENTOWN,PA,US,BWI,BALTIMORE,MD,US,TEC,3,,8000,,,,,,,,,ETX V39 LRP T449 KITHE
2025/02/20,ABE,ALLENTOWN,PA,US,DCA,WASHINGTON,DC,US,TEC,1,,8000,,,,,,,,,ETX V39 LRP T449 KITHE BAL
2025/02/20,ABE,ALLENTOWN,PA,US,EWR,NEWARK,NJ,US,TEC,3,,6000,,,,,,,,,FJC BWZ
2025/02/20,ABE,ALLENTOWN,PA,US,FRG,FARMINGDALE,NY,US,TEC,1,,5000,PROPS LESS THAN 210 KTS IAS,,,,,,,,ETX T430 SBJ
2025/02/20,ABE,ALLENTOWN,PA,US,HFD,HARTFORD,CT,US,TEC,1,,5000,,,,,,,,,FJC T299 HUO IGN PWL BRISS
2025/02/20,ABE,ALLENTOWN,PA,US,HPN,WHITE PLAINS,NY,US,TEC,1,,5000,PROPS LESS THAN 210 KTS IAS,,,,,,,,FJC T299 HUO IGN V157 HAARP
2025/02/20,ABE,ALLENTOWN,PA,US,HPN,WHITE PLAINS,NY,US,TEC,2,,5000,JETS AND PROPS GREATER THAN 210 KTS IAS,,,,,,,,STW SAX V39 BREZY
2025/02/20,ABE,ALLENTOWN,PA,US,IAD,WASHINGTON,DC,US,TEC,1,,8000,,,,,,,,,ETX LRP V143 MULRR AML
2025/02/20,ABE,ALLENTOWN,PA,US,ILG,WILMINGTON,DE,US,TEC,1,,4000,,,,,,,,,ETX T447 APEER
2025/02/20,ABE,ALLENTOWN,PA,US,LNS,LANCASTER,PA,US,TEC,1,,4000,,,,,,,,,ETX V39 LRP
2025/02/20,ABE,ALLENTOWN,PA,US,MDT,HARRISBURG,PA,US,TEC,1,,8000,,,,,,,,,ETX T299 HAR
